Risk.group,Strategy,number,risk,screen_detect,cost,advcancer_screen,advcancer_interval
1,1,1,0.011984385869442483,0.8680992269135461,6,0.22,0.53
2,1,1,0.012130683660027803,0.8680992269135461,6,0.22,0.53
3,1,1,0.01225045665872269,0.8680992269135461,6,0.22,0.53
4,1,1,0.012385806505271497,0.8680992269135461,6,0.22,0.53
5,1,1,0.012528624630439739,0.8680992269135461,6,0.22,0.53
6,1,1,0.0126424505378414,0.8680992269135461,6,0.22,0.53
7,1,1,0.01278543172122319,0.8680992269135461,6,0.22,0.53
8,1,1,0.012929504374952673,0.8680992269135461,6,0.22,0.53
9,1,1,0.013021516454878607,0.8680992269135461,6,0.22,0.53
10,1,1,0.013144039813409872,0.8680992269135461,6,0.22,0.53
11,1,1,0.013242669504419713,0.8680992269135461,6,0.22,0.53
12,1,1,0.01332100609027509,0.8680992269135461,6,0.22,0.53
13,1,1,0.013429025118642659,0.8680992269135461,6,0.22,0.53
14,1,1,0.013536413247719701,0.8680992269135461,6,0.22,0.53
15,1,1,0.013650988231802929,0.8680992269135461,6,0.22,0.53
16,1,1,0.013740903446325317,0.8680992269135461,6,0.22,0.53
17,1,1,0.013846975896552302,0.8680992269135461,6,0.22,0.53
18,1,1,0.013940559576017217,0.8680992269135461,6,0.22,0.53
19,1,1,0.014051558783903595,0.8680992269135461,6,0.22,0.53
20,1,1,0.014180621535658485,0.8680992269135461,6,0.22,0.53
21,1,1,0.01428485638666826,0.8680992269135461,6,0.22,0.53
22,1,1,0.014359602978159048,0.8680992269135461,6,0.22,0.53
23,1,1,0.0144668019510579,0.8680992269135461,6,0.22,0.53
24,1,1,0.014575829682406047,0.8680992269135461,6,0.22,0.53
25,1,1,0.014699964618591995,0.8680992269135461,6,0.22,0.53
26,1,1,0.014777026499148152,0.8680992269135461,6,0.22,0.53
27,1,1,0.014897199518522773,0.8680992269135461,6,0.22,0.53
28,1,1,0.015012386184999506,0.8680992269135461,6,0.22,0.53
29,1,1,0.015137314760255198,0.8680992269135461,6,0.22,0.53
30,1,1,0.015240563715866694,0.8680992269135461,6,0.22,0.53
31,1,1,0.015382292572952051,0.8680992269135461,6,0.22,0.53
32,1,1,0.015521872843354483,0.8680992269135461,6,0.22,0.53
33,1,1,0.015658109676823528,0.8680992269135461,6,0.22,0.53
34,1,1,0.0157838417811784,0.8680992269135461,6,0.22,0.53
35,1,1,0.015894552682763796,0.8680992269135461,6,0.22,0.53
36,1,1,0.016027244440470753,0.8680992269135461,6,0.22,0.53
37,1,1,0.01616939663983459,0.8680992269135461,6,0.22,0.53
38,1,1,0.016296095549033336,0.8680992269135461,6,0.22,0.53
39,1,1,0.016401798161554983,0.8680992269135461,6,0.22,0.53
40,1,1,0.016555568273449627,0.8680992269135461,6,0.22,0.53
41,1,1,0.01673011166115433,0.8680992269135461,6,0.22,0.53
42,1,1,0.016905802985256683,0.8680992269135461,6,0.22,0.53
43,1,1,0.017052772864228558,0.8680992269135461,6,0.22,0.53
44,1,1,0.01718340980354679,0.8680992269135461,6,0.22,0.53
45,1,1,0.017329799866032294,0.8680992269135461,6,0.22,0.53
46,1,1,0.017519562672328282,0.8680992269135461,6,0.22,0.53
47,1,1,0.01773230595387304,0.8680992269135461,6,0.22,0.53
48,1,1,0.018007545068258555,0.8680992269135461,6,0.22,0.53
49,1,1,0.01818233304591515,0.8680992269135461,6,0.22,0.53
50,1,1,0.018330019436009717,0.8680992269135461,6,0.22,0.53
51,1,1,0.01851931768980206,0.8680992269135461,6,0.22,0.53
52,1,1,0.018685751165692873,0.8680992269135461,6,0.22,0.53
53,1,1,0.01883906666687377,0.8680992269135461,6,0.22,0.53
54,1,1,0.018991519709252173,0.8680992269135461,6,0.22,0.53
55,1,1,0.01922078367127873,0.8680992269135461,6,0.22,0.53
56,1,1,0.01946336864925731,0.8680992269135461,6,0.22,0.53
57,1,1,0.01965909476367613,0.8680992269135461,6,0.22,0.53
58,1,1,0.01986839432810659,0.8680992269135461,6,0.22,0.53
59,1,1,0.020059113494676695,0.8680992269135461,6,0.22,0.53
60,1,1,0.020279486826322208,0.8680992269135461,6,0.22,0.53
61,1,1,0.02050891167736228,0.8680992269135461,6,0.22,0.53
62,1,1,0.020724857185920646,0.8680992269135461,6,0.22,0.53
63,1,1,0.02096332308527264,0.8680992269135461,6,0.22,0.53
64,1,1,0.02114996852485544,0.8680992269135461,6,0.22,0.53
65,1,1,0.021369874102948667,0.8680992269135461,6,0.22,0.53
66,1,1,0.02163165821306489,0.8680992269135461,6,0.22,0.53
67,1,1,0.021842865144496442,0.8680992269135461,6,0.22,0.53
68,1,1,0.022116230029199713,0.8680992269135461,6,0.22,0.53
69,1,1,0.02235848215798663,0.8680992269135461,6,0.22,0.53
70,1,1,0.022555987859548883,0.8680992269135461,6,0.22,0.53
71,1,1,0.022823380475555783,0.8680992269135461,6,0.22,0.53
72,1,1,0.02315926395809639,0.8680992269135461,6,0.22,0.53
73,1,1,0.02355648270031775,0.8680992269135461,6,0.22,0.53
74,1,1,0.02386088411138774,0.8680992269135461,6,0.22,0.53
75,1,1,0.02413005245821738,0.8680992269135461,6,0.22,0.53
76,1,1,0.02436959053728639,0.8680992269135461,6,0.22,0.53
77,1,1,0.024745711106166638,0.8680992269135461,6,0.22,0.53
78,1,1,0.025059938595464234,0.8680992269135461,6,0.22,0.53
79,1,1,0.025424972892843057,0.8680992269135461,6,0.22,0.53
80,1,1,0.02588781624365669,0.8680992269135461,6,0.22,0.53
81,1,1,0.026234990952997195,0.8680992269135461,6,0.22,0.53
82,1,1,0.02663272091053616,0.8680992269135461,6,0.22,0.53
83,1,1,0.02699531989206474,0.8680992269135461,6,0.22,0.53
84,1,1,0.02733566578255881,0.8680992269135461,6,0.22,0.53
85,1,1,0.027731885006265288,0.8680992269135461,6,0.22,0.53
86,1,1,0.028199643483253604,0.8680992269135461,6,0.22,0.53
87,1,1,0.02887371480216121,0.8680992269135461,6,0.22,0.53
88,1,1,0.02948518723556295,0.8680992269135461,6,0.22,0.53
89,1,1,0.030042699902586924,0.8680992269135461,6,0.22,0.53
90,1,1,0.030703720484952228,0.8680992269135461,6,0.22,0.53
91,1,1,0.03137951598388804,0.8680992269135461,6,0.22,0.53
92,1,1,0.03251775678070284,0.8680992269135461,6,0.22,0.53
93,1,1,0.03450759842605118,0.8680992269135461,6,0.22,0.53
94,1,1,0.036368940129076446,0.8680992269135461,6,0.22,0.53
95,1,1,0.039617964658822946,0.8680992269135461,6,0.22,0.53
96,1,1,0.046184572414022525,0.8680992269135461,6,0.22,0.53
97,1,1,0.05793726276339735,0.8680992269135461,6,0.22,0.53
98,1,1,0.07756780552454554,0.8680992269135461,6,0.22,0.53
99,1,1,0.10013128073154379,0.8680992269135461,6,0.22,0.53
100,1,1,0.1565826613588866,0.8680992269135461,6,0.22,0.53
1,2,1,0.011984385869442483,0.6726493254150105,2,0.22,0.53
2,2,1,0.012130683660027803,0.6726493254150105,2,0.22,0.53
3,2,1,0.01225045665872269,0.6726493254150105,2,0.22,0.53
4,2,1,0.012385806505271497,0.6726493254150105,2,0.22,0.53
5,2,1,0.012528624630439739,0.6726493254150105,2,0.22,0.53
6,2,1,0.0126424505378414,0.6726493254150105,2,0.22,0.53
7,2,1,0.01278543172122319,0.6726493254150105,2,0.22,0.53
8,2,1,0.012929504374952673,0.6726493254150105,2,0.22,0.53
9,2,1,0.013021516454878607,0.6726493254150105,2,0.22,0.53
10,2,1,0.013144039813409872,0.6726493254150105,2,0.22,0.53
11,2,1,0.013242669504419713,0.6726493254150105,2,0.22,0.53
12,2,1,0.01332100609027509,0.6726493254150105,2,0.22,0.53
13,2,1,0.013429025118642659,0.6726493254150105,2,0.22,0.53
14,2,1,0.013536413247719701,0.6726493254150105,2,0.22,0.53
15,2,1,0.013650988231802929,0.6726493254150105,2,0.22,0.53
16,2,1,0.013740903446325317,0.6726493254150105,2,0.22,0.53
17,2,1,0.013846975896552302,0.6726493254150105,2,0.22,0.53
18,2,1,0.013940559576017217,0.6726493254150105,2,0.22,0.53
19,2,1,0.014051558783903595,0.6726493254150105,2,0.22,0.53
20,2,1,0.014180621535658485,0.6726493254150105,2,0.22,0.53
21,2,1,0.01428485638666826,0.6726493254150105,2,0.22,0.53
22,2,1,0.014359602978159048,0.6726493254150105,2,0.22,0.53
23,2,1,0.0144668019510579,0.6726493254150105,2,0.22,0.53
24,2,1,0.014575829682406047,0.6726493254150105,2,0.22,0.53
25,2,1,0.014699964618591995,0.6726493254150105,2,0.22,0.53
26,2,1,0.014777026499148152,0.6726493254150105,2,0.22,0.53
27,2,1,0.014897199518522773,0.6726493254150105,2,0.22,0.53
28,2,1,0.015012386184999506,0.6726493254150105,2,0.22,0.53
29,2,1,0.015137314760255198,0.6726493254150105,2,0.22,0.53
30,2,1,0.015240563715866694,0.6726493254150105,2,0.22,0.53
31,2,1,0.015382292572952051,0.6726493254150105,2,0.22,0.53
32,2,1,0.015521872843354483,0.6726493254150105,2,0.22,0.53
33,2,1,0.015658109676823528,0.6726493254150105,2,0.22,0.53
34,2,1,0.0157838417811784,0.6726493254150105,2,0.22,0.53
35,2,1,0.015894552682763796,0.6726493254150105,2,0.22,0.53
36,2,1,0.016027244440470753,0.6726493254150105,2,0.22,0.53
37,2,1,0.01616939663983459,0.6726493254150105,2,0.22,0.53
38,2,1,0.016296095549033336,0.6726493254150105,2,0.22,0.53
39,2,1,0.016401798161554983,0.6726493254150105,2,0.22,0.53
40,2,1,0.016555568273449627,0.6726493254150105,2,0.22,0.53
41,2,1,0.01673011166115433,0.6726493254150105,2,0.22,0.53
42,2,1,0.016905802985256683,0.6726493254150105,2,0.22,0.53
43,2,1,0.017052772864228558,0.6726493254150105,2,0.22,0.53
44,2,1,0.01718340980354679,0.6726493254150105,2,0.22,0.53
45,2,1,0.017329799866032294,0.6726493254150105,2,0.22,0.53
46,2,1,0.017519562672328282,0.6726493254150105,2,0.22,0.53
47,2,1,0.01773230595387304,0.6726493254150105,2,0.22,0.53
48,2,1,0.018007545068258555,0.6726493254150105,2,0.22,0.53
49,2,1,0.01818233304591515,0.6726493254150105,2,0.22,0.53
50,2,1,0.018330019436009717,0.6726493254150105,2,0.22,0.53
51,2,1,0.01851931768980206,0.6726493254150105,2,0.22,0.53
52,2,1,0.018685751165692873,0.6726493254150105,2,0.22,0.53
53,2,1,0.01883906666687377,0.6726493254150105,2,0.22,0.53
54,2,1,0.018991519709252173,0.6726493254150105,2,0.22,0.53
55,2,1,0.01922078367127873,0.6726493254150105,2,0.22,0.53
56,2,1,0.01946336864925731,0.6726493254150105,2,0.22,0.53
57,2,1,0.01965909476367613,0.6726493254150105,2,0.22,0.53
